0.002500	0.500000	0.432897	-0.582196	-0.307633	-0.116081	-0.009358	0.000712	0.007731	0.006495	
0.007500	0.500000	0.430290	-0.583129	-0.305467	-0.114925	-0.008816	-0.000126	0.007477	0.007081	
0.012500	0.500000	0.427284	-0.583853	-0.303049	-0.114121	-0.008310	-0.000714	0.007202	0.007500	
0.017500	0.500000	0.423971	-0.584399	-0.300480	-0.113529	-0.007868	-0.001121	0.006948	0.007763	
0.022500	0.500000	0.420427	-0.584810	-0.297805	-0.113085	-0.007481	-0.001393	0.006718	0.007904	
0.027500	0.500000	0.416709	-0.585121	-0.295050	-0.112749	-0.007140	-0.001567	0.006508	0.007954	
0.032500	0.500000	0.412859	-0.585357	-0.292234	-0.112493	-0.006835	-0.001669	0.006314	0.007939	
0.037500	0.500000	0.408909	-0.585536	-0.289371	-0.112297	-0.006557	-0.001718	0.006133	0.007876	
0.042500	0.500000	0.404882	-0.585675	-0.286472	-0.112145	-0.006302	-0.001729	0.005963	0.007779	
0.047500	0.500000	0.400796	-0.585782	-0.283543	-0.112027	-0.006066	-0.001712	0.005802	0.007658	
0.052500	0.500000	0.396663	-0.585867	-0.280592	-0.111934	-0.005844	-0.001675	0.005648	0.007521	
0.057500	0.500000	0.392494	-0.585934	-0.277622	-0.111859	-0.005636	-0.001624	0.005501	0.007373	
0.062500	0.500000	0.388296	-0.585988	-0.274637	-0.111798	-0.005438	-0.001564	0.005359	0.007219	
0.067500	0.500000	0.384074	-0.586032	-0.271640	-0.111748	-0.005249	-0.001497	0.005222	0.007061	
0.072500	0.500000	0.379832	-0.586069	-0.268631	-0.111706	-0.005068	-0.001427	0.005090	0.006902	
0.077500	0.500000	0.375574	-0.586100	-0.265613	-0.111670	-0.004895	-0.001354	0.004962	0.006743	
0.082500	0.500000	0.371302	-0.586127	-0.262587	-0.111639	-0.004729	-0.001280	0.004837	0.006585	
0.087500	0.500000	0.367017	-0.586151	-0.259553	-0.111611	-0.004569	-0.001207	0.004716	0.006429	
0.092500	0.500000	0.362722	-0.586172	-0.256512	-0.111586	-0.004415	-0.001134	0.004598	0.006276	
0.097500	0.500000	0.358417	-0.586191	-0.253466	-0.111564	-0.004266	-0.001062	0.004484	0.006126	
0.102500	0.500000	0.354104	-0.586208	-0.250414	-0.111543	-0.004122	-0.000991	0.004372	0.005979	
0.107500	0.500000	0.349782	-0.586225	-0.247356	-0.111524	-0.003983	-0.000922	0.004263	0.005836	
0.112500	0.500000	0.345453	-0.586240	-0.244293	-0.111505	-0.003849	-0.000855	0.004157	0.005696	
0.117500	0.500000	0.341117	-0.586254	-0.241226	-0.111488	-0.003719	-0.000790	0.004054	0.005560	
0.122500	0.500000	0.336774	-0.586267	-0.238154	-0.111472	-0.003593	-0.000727	0.003953	0.005428	
0.127500	0.500000	0.332424	-0.586280	-0.235078	-0.111456	-0.003471	-0.000666	0.003854	0.005299	
0.132500	0.500000	0.328069	-0.586292	-0.231997	-0.111441	-0.003354	-0.000606	0.003758	0.005174	
0.137500	0.500000	0.323708	-0.586304	-0.228913	-0.111427	-0.003240	-0.000549	0.003664	0.005053	
0.142500	0.500000	0.319341	-0.586316	-0.225824	-0.111413	-0.003129	-0.000493	0.003573	0.004935	
0.147500	0.500000	0.314969	-0.586326	-0.222732	-0.111400	-0.003022	-0.000439	0.003483	0.004820	
0.152500	0.500000	0.310591	-0.586337	-0.219636	-0.111387	-0.002919	-0.000388	0.003396	0.004709	
0.157500	0.500000	0.306209	-0.586347	-0.216537	-0.111375	-0.002819	-0.000338	0.003310	0.004600	
0.162500	0.500000	0.301822	-0.586357	-0.213434	-0.111363	-0.002722	-0.000289	0.003227	0.004495	
0.167500	0.500000	0.297431	-0.586366	-0.210329	-0.111351	-0.002628	-0.000243	0.003145	0.004394	
0.172500	0.500000	0.293034	-0.586375	-0.207220	-0.111340	-0.002538	-0.000198	0.003065	0.004295	
0.177500	0.500000	0.288634	-0.586384	-0.204108	-0.111329	-0.002450	-0.000154	0.002987	0.004199	
0.182500	0.500000	0.284229	-0.586393	-0.200993	-0.111319	-0.002364	-0.000112	0.002911	0.004105	
0.187500	0.500000	0.279821	-0.586401	-0.197875	-0.111309	-0.002282	-0.000072	0.002836	0.004015	
0.192500	0.500000	0.275408	-0.586409	-0.194754	-0.111299	-0.002202	-0.000033	0.002763	0.003927	
0.197500	0.500000	0.270992	-0.586417	-0.191631	-0.111290	-0.002125	0.000005	0.002692	0.003842	
0.202500	0.500000	0.266571	-0.586424	-0.188505	-0.111281	-0.002050	0.000041	0.002622	0.003759	
0.207500	0.500000	0.262148	-0.586431	-0.185377	-0.111272	-0.001978	0.000076	0.002554	0.003679	
0.212500	0.500000	0.257721	-0.586438	-0.182246	-0.111263	-0.001908	0.000110	0.002487	0.003602	
0.217500	0.500000	0.253290	-0.586445	-0.179113	-0.111255	-0.001840	0.000142	0.002421	0.003526	
0.222500	0.500000	0.248857	-0.586452	-0.175978	-0.111247	-0.001774	0.000173	0.002357	0.003453	
0.227500	0.500000	0.244420	-0.586458	-0.172840	-0.111239	-0.001711	0.000203	0.002294	0.003383	
0.232500	0.500000	0.239980	-0.586464	-0.169700	-0.111231	-0.001649	0.000232	0.002233	0.003314	
0.237500	0.500000	0.235537	-0.586470	-0.166559	-0.111224	-0.001590	0.000260	0.002172	0.003247	
0.242500	0.500000	0.231092	-0.586476	-0.163415	-0.111217	-0.001532	0.000287	0.002113	0.003183	
0.247500	0.500000	0.226644	-0.586481	-0.160269	-0.111210	-0.001476	0.000313	0.002055	0.003120	
