0.002500	0.500000	0.426539	-0.581577	-0.303329	-0.117103	-0.012304	0.001540	0.010977	0.005428	-0.005198	-0.007209	
0.007500	0.500000	0.424139	-0.582497	-0.301352	-0.115895	-0.011647	0.000778	0.010574	0.005864	-0.005012	-0.007514	
0.012500	0.500000	0.421394	-0.583251	-0.299124	-0.115032	-0.010987	0.000215	0.010135	0.006188	-0.004809	-0.007733	
0.017500	0.500000	0.418370	-0.583854	-0.296748	-0.114371	-0.010375	-0.000197	0.009706	0.006402	-0.004608	-0.007862	
0.022500	0.500000	0.415124	-0.584332	-0.294265	-0.113851	-0.009817	-0.000494	0.009302	0.006523	-0.004416	-0.007911	
0.027500	0.500000	0.411700	-0.584714	-0.291699	-0.113434	-0.009308	-0.000703	0.008926	0.006570	-0.004236	-0.007893	
0.032500	0.500000	0.408135	-0.585021	-0.289065	-0.113098	-0.008843	-0.000845	0.008575	0.006559	-0.004068	-0.007822	
0.037500	0.500000	0.404456	-0.585269	-0.286376	-0.112824	-0.008415	-0.000935	0.008248	0.006503	-0.003911	-0.007711	
0.042500	0.500000	0.400684	-0.585471	-0.283639	-0.112600	-0.008020	-0.000985	0.007941	0.006414	-0.003763	-0.007571	
0.047500	0.500000	0.396836	-0.585638	-0.280864	-0.112414	-0.007652	-0.001005	0.007653	0.006301	-0.003623	-0.007408	
0.052500	0.500000	0.392925	-0.585776	-0.278056	-0.112258	-0.007309	-0.001001	0.007380	0.006169	-0.003491	-0.007231	
0.057500	0.500000	0.388962	-0.585892	-0.275220	-0.112127	-0.006987	-0.000980	0.007121	0.006025	-0.003365	-0.007043	
0.062500	0.500000	0.384955	-0.585990	-0.272359	-0.112016	-0.006684	-0.000946	0.006875	0.005872	-0.003246	-0.006848	
0.067500	0.500000	0.380911	-0.586074	-0.269477	-0.111920	-0.006397	-0.000903	0.006640	0.005714	-0.003132	-0.006650	
0.072500	0.500000	0.376834	-0.586146	-0.266577	-0.111837	-0.006125	-0.000853	0.006415	0.005553	-0.003022	-0.006451	
0.077500	0.500000	0.372730	-0.586209	-0.263661	-0.111763	-0.005867	-0.000798	0.006200	0.005392	-0.002918	-0.006253	
0.082500	0.500000	0.368601	-0.586265	-0.260730	-0.111699	-0.005621	-0.000741	0.005993	0.005231	-0.002817	-0.006057	
0.087500	0.500000	0.364451	-0.586314	-0.257786	-0.111641	-0.005387	-0.000681	0.005795	0.005072	-0.002721	-0.005864	
0.092500	0.500000	0.360281	-0.586359	-0.254830	-0.111588	-0.005163	-0.000621	0.005604	0.004916	-0.002628	-0.005675	
0.097500	0.500000	0.356094	-0.586399	-0.251862	-0.111540	-0.004949	-0.000562	0.005420	0.004762	-0.002539	-0.005490	
0.102500	0.500000	0.351890	-0.586436	-0.248885	-0.111496	-0.004744	-0.000502	0.005243	0.004613	-0.002453	-0.005310	
0.107500	0.500000	0.347673	-0.586470	-0.245898	-0.111456	-0.004547	-0.000444	0.005072	0.004467	-0.002370	-0.005135	
0.112500	0.500000	0.343441	-0.586502	-0.242902	-0.111418	-0.004359	-0.000387	0.004907	0.004325	-0.002290	-0.004965	
0.117500	0.500000	0.339197	-0.586531	-0.239898	-0.111382	-0.004178	-0.000331	0.004748	0.004188	-0.002213	-0.004800	
0.122500	0.500000	0.334942	-0.586559	-0.236886	-0.111349	-0.004005	-0.000277	0.004595	0.004055	-0.002138	-0.004640	
0.127500	0.500000	0.330675	-0.586585	-0.233866	-0.111317	-0.003839	-0.000225	0.004446	0.003926	-0.002066	-0.004486	
0.132500	0.500000	0.326398	-0.586610	-0.230839	-0.111288	-0.003680	-0.000175	0.004303	0.003801	-0.001997	-0.004336	
0.137500	0.500000	0.322111	-0.586633	-0.227806	-0.111259	-0.003527	-0.000127	0.004165	0.003680	-0.001930	-0.004192	
0.142500	0.500000	0.317815	-0.586655	-0.224766	-0.111233	-0.003380	-0.000080	0.004031	0.003564	-0.001865	-0.004052	
0.147500	0.500000	0.313510	-0.586676	-0.221720	-0.111207	-0.003238	-0.000035	0.003901	0.003451	-0.001802	-0.003917	
0.152500	0.500000	0.309196	-0.586696	-0.218668	-0.111182	-0.003103	0.000008	0.003776	0.003343	-0.001742	-0.003787	
0.157500	0.500000	0.304874	-0.586716	-0.215611	-0.111159	-0.002973	0.000049	0.003655	0.003238	-0.001684	-0.003662	
0.162500	0.500000	0.300545	-0.586734	-0.212548	-0.111137	-0.002848	0.000089	0.003537	0.003137	-0.001627	-0.003540	
0.167500	0.500000	0.296208	-0.586752	-0.209480	-0.111115	-0.002728	0.000126	0.003424	0.003040	-0.001572	-0.003423	
0.172500	0.500000	0.291864	-0.586769	-0.206407	-0.111094	-0.002612	0.000163	0.003314	0.002946	-0.001520	-0.003311	
0.177500	0.500000	0.287513	-0.586785	-0.203329	-0.111075	-0.002501	0.000197	0.003208	0.002856	-0.001469	-0.003202	
0.182500	0.500000	0.283155	-0.586800	-0.200247	-0.111056	-0.002395	0.000230	0.003105	0.002768	-0.001419	-0.003097	
0.187500	0.500000	0.278792	-0.586815	-0.197161	-0.111037	-0.002293	0.000262	0.003005	0.002684	-0.001371	-0.002996	
0.192500	0.500000	0.274422	-0.586830	-0.194070	-0.111020	-0.002195	0.000292	0.002909	0.002603	-0.001325	-0.002898	
0.197500	0.500000	0.270046	-0.586843	-0.190975	-0.111003	-0.002101	0.000321	0.002815	0.002525	-0.001281	-0.002804	
0.202500	0.500000	0.265665	-0.586857	-0.187876	-0.110987	-0.002010	0.000348	0.002724	0.002450	-0.001237	-0.002713	
